Site,Species,Habitat,Abundance
Bio 9 1,Aphotopontius_limatulus,PW_pre,0
Bio 9 1,Aphotopontius_mammilatus,PW_pre,0
Bio 9 1,Aphotopontius_probolus,PW_pre,0
Bio 9 1,Benthoxynus_tumidiseta,PW_pre,0
Bio 9 1,Ceuthocetes_introversus,PW_pre,0
Bio 9 1,Ceuthoecetes_acanthotrix,PW_pre,0
Bio 9 1,Ceuthoecetes_aliger,PW_pre,0
Bio 9 1,Ceuthoecetes_Nilva_juvenile,PW_pre,0
Bio 9 1,copepodites,PW_pre,0.35
Bio 9 1,Dirivultidae_juvenile,PW_pre,0
Bio 9 1,Ecbathyrion_prolixicauda,PW_pre,0
Bio 9 1,Nilva_torifera,PW_pre,0
Bio 9 1,Rhogobius_sp,PW_pre,0
Bio 9 1,Scotoecetes_introrsus,PW_pre,0
Bio 9 1,Stygiopontius_appositus,PW_pre,0
Bio 9 1,Stygiopontius_flexus,PW_pre,0
Bio 9 1,Stygiopontius_hispidulus,PW_pre,96.48
Bio 9 1,Stygiopontius_mucroniferus,PW_pre,0
Bio 9 1,Stygiopontius_paxillifer ,PW_pre,1.93
Bio 9 1,Stygiopontius_sentifer,PW_pre,1.23
Bio 9 1,Stygiopontius_stabilitus,PW_pre,0
M Vent,Aphotopontius_acanthinus,PW_pre,0
M Vent,Aphotopontius_arcuatus,PW_pre,0
M Vent,Aphotopontius_flexispina,PW_pre,0
M Vent,Aphotopontius_hydronauticus ,PW_pre,0
M Vent,Aphotopontius_limatulus,PW_pre,0
M Vent,Aphotopontius_mammilatus,PW_pre,0
M Vent,Aphotopontius_probolus,PW_pre,0
M Vent,Benthoxynus_tumidiseta,PW_pre,0
M Vent,Ceuthocetes_introversus,PW_pre,0
M Vent,Ceuthoecetes_acanthotrix,PW_pre,0
M Vent,Ceuthoecetes_aliger,PW_pre,0
M Vent,Ceuthoecetes_Nilva_juvenile,PW_pre,0
M Vent,copepodites,PW_pre,0
M Vent,Dirivultidae_juvenile,PW_pre,0
M Vent,Ecbathyrion_prolixicauda,PW_pre,0
M Vent,Nilva_torifera,PW_pre,0
M Vent,Rhogobius_sp,PW_pre,0
M Vent,Scotoecetes_introrsus,PW_pre,0
M Vent,Stygiopontius_appositus,PW_pre,0
M Vent,Stygiopontius_flexus,PW_pre,0
M Vent,Stygiopontius_hispidulus,PW_pre,96.67
M Vent,Stygiopontius_mucroniferus,PW_pre,0
M Vent,Stygiopontius_paxillifer ,PW_pre,2.5
M Vent,Stygiopontius_sentifer,PW_pre,0.83
M Vent,Stygiopontius_stabilitus,PW_pre,0
Q Vent,Aphotopontius_acanthinus,PW_pre,0
Q Vent,Aphotopontius_arcuatus,PW_pre,0.25
Q Vent,Aphotopontius_flexispina,PW_pre,0
Q Vent,Aphotopontius_hydronauticus ,PW_pre,0
Q Vent,Aphotopontius_limatulus,PW_pre,0
Q Vent,Aphotopontius_mammilatus,PW_pre,0
Q Vent,Aphotopontius_probolus,PW_pre,0
Q Vent,Benthoxynus_tumidiseta,PW_pre,0
Q Vent,Ceuthocetes_introversus,PW_pre,0
Q Vent,Ceuthoecetes_acanthotrix,PW_pre,0
Q Vent,Ceuthoecetes_aliger,PW_pre,0
Q Vent,Ceuthoecetes_Nilva_juvenile,PW_pre,0
Q Vent,copepodites,PW_pre,0
Q Vent,Dirivultidae_juvenile,PW_pre,0
Q Vent,Ecbathyrion_prolixicauda,PW_pre,0.76
Q Vent,Nilva_torifera,PW_pre,0
Q Vent,Rhogobius_sp,PW_pre,0
Q Vent,Scotoecetes_introrsus,PW_pre,0
Q Vent,Stygiopontius_appositus,PW_pre,0
Q Vent,Stygiopontius_flexus,PW_pre,0
Q Vent,Stygiopontius_hispidulus,PW_pre,97.23
Q Vent,Stygiopontius_mucroniferus,PW_pre,0
Q Vent,Stygiopontius_paxillifer ,PW_pre,1.51
Q Vent,Stygiopontius_sentifer,PW_pre,0.25
Q Vent,Stygiopontius_stabilitus,PW_pre,0
Tica 1,Aphotopontius_acanthinus,TM_pre,0.46
Tica 1,Aphotopontius_arcuatus,TM_pre,0
Tica 1,Aphotopontius_flexispina,TM_pre,0
Tica 1,Aphotopontius_hydronauticus ,TM_pre,0.92
Tica 1,Aphotopontius_limatulus,TM_pre,0
Tica 1,Aphotopontius_mammilatus,TM_pre,0
Tica 1,Aphotopontius_probolus,TM_pre,1.84
Tica 1,Benthoxynus_tumidiseta,TM_pre,0
Tica 1,Ceuthocetes_introversus,TM_pre,23.5
Tica 1,Ceuthoecetes_acanthotrix,TM_pre,20.28
Tica 1,Ceuthoecetes_aliger,TM_pre,26.73
Tica 1,Ceuthoecetes_Nilva_juvenile,TM_pre,0
Tica 1,copepodites,TM_pre,25.81
Tica 1,Dirivultidae_juvenile,TM_pre,0
Tica 1,Ecbathyrion_prolixicauda,TM_pre,0
Tica 1,Nilva_torifera,TM_pre,0
Tica 1,Rhogobius_sp,TM_pre,0.46
Tica 1,Scotoecetes_introrsus,TM_pre,0
Tica 1,Stygiopontius_appositus,TM_pre,0
Tica 1,Stygiopontius_flexus,TM_pre,0
Tica 1,Stygiopontius_hispidulus,TM_pre,0
Tica 1,Stygiopontius_mucroniferus,TM_pre,0
Tica 1,Stygiopontius_paxillifer ,TM_pre,0
Tica 1,Stygiopontius_sentifer,TM_pre,0
Tica 1,Stygiopontius_stabilitus,TM_pre,0
Tica 2,Aphotopontius_acanthinus,TM_pre,0
Tica 2,Aphotopontius_arcuatus,TM_pre,0
Tica 2,Aphotopontius_flexispina,TM_pre,0
Tica 2,Aphotopontius_hydronauticus ,TM_pre,0
Tica 2,Aphotopontius_limatulus,TM_pre,0
Tica 2,Aphotopontius_mammilatus,TM_pre,0.39
Tica 2,Aphotopontius_probolus,TM_pre,0
Tica 2,Benthoxynus_tumidiseta,TM_pre,14.51
Tica 2,Ceuthocetes_introversus,TM_pre,3.14
Tica 2,Ceuthoecetes_acanthotrix,TM_pre,3.14
Tica 2,Ceuthoecetes_aliger,TM_pre,1.96
Tica 2,Ceuthoecetes_Nilva_juvenile,TM_pre,0
Tica 2,copepodites,TM_pre,10.59
Tica 2,Dirivultidae_juvenile,TM_pre,0
Tica 2,Ecbathyrion_prolixicauda,TM_pre,0
Tica 2,Nilva_torifera,TM_pre,0
Tica 2,Rhogobius_sp,TM_pre,0
Tica 2,Scotoecetes_introrsus,TM_pre,60.78
Tica 2,Stygiopontius_appositus,TM_pre,0
Tica 2,Stygiopontius_flexus,TM_pre,4.31
Tica 2,Stygiopontius_hispidulus,TM_pre,1.18
Tica 2,Stygiopontius_mucroniferus,TM_pre,0
Tica 2,Stygiopontius_paxillifer ,TM_pre,0
Tica 2,Stygiopontius_sentifer,TM_pre,0
Tica 2,Stygiopontius_stabilitus,TM_pre,0
Tica 3,Aphotopontius_acanthinus,TM_pre,10.19
Tica 3,Aphotopontius_arcuatus,TM_pre,0
Tica 3,Aphotopontius_flexispina,TM_pre,0.38
Tica 3,Aphotopontius_hydronauticus ,TM_pre,8.68
Tica 3,Aphotopontius_limatulus,TM_pre,0
Tica 3,Aphotopontius_mammilatus,TM_pre,8.68
Tica 3,Aphotopontius_probolus,TM_pre,6.79
Tica 3,Benthoxynus_tumidiseta,TM_pre,1.13
Tica 3,Ceuthocetes_introversus,TM_pre,12.45
Tica 3,Ceuthoecetes_acanthotrix,TM_pre,13.21
Tica 3,Ceuthoecetes_aliger,TM_pre,13.96
Tica 3,Ceuthoecetes_Nilva_juvenile,TM_pre,0
Tica 3,copepodites,TM_pre,19.24
Tica 3,Dirivultidae_juvenile,TM_pre,0
Tica 3,Ecbathyrion_prolixicauda,TM_pre,0
Tica 3,Nilva_torifera,TM_pre,0
Tica 3,Rhogobius_sp,TM_pre,2.64
Tica 3,Scotoecetes_introrsus,TM_pre,1.51
Tica 3,Stygiopontius_appositus,TM_pre,0
Tica 3,Stygiopontius_flexus,TM_pre,1.13
Tica 3,Stygiopontius_hispidulus,TM_pre,0
Tica 3,Stygiopontius_mucroniferus,TM_pre,0
Tica 3,Stygiopontius_paxillifer ,TM_pre,0
Tica 3,Stygiopontius_sentifer,TM_pre,0
Tica 3,Stygiopontius_stabilitus,TM_pre,0
Riftia Field 1,Aphotopontius_acanthinus,TM_pre,0
Riftia Field 1,Aphotopontius_arcuatus,TM_pre,0
Riftia Field 1,Aphotopontius_flexispina,TM_pre,0
Riftia Field 1,Aphotopontius_hydronauticus ,TM_pre,5.26
Riftia Field 1,Aphotopontius_limatulus,TM_pre,0
Riftia Field 1,Aphotopontius_mammilatus,TM_pre,0
Riftia Field 1,Aphotopontius_probolus,TM_pre,10.53
Riftia Field 1,Benthoxynus_tumidiseta,TM_pre,0
Riftia Field 1,Ceuthocetes_introversus,TM_pre,0
Riftia Field 1,Ceuthoecetes_acanthotrix,TM_pre,0
Riftia Field 1,Ceuthoecetes_aliger,TM_pre,0
Riftia Field 1,Ceuthoecetes_Nilva_juvenile,TM_pre,0
Riftia Field 1,copepodites,TM_pre,5.26
Riftia Field 1,Dirivultidae_juvenile,TM_pre,0
Riftia Field 1,Ecbathyrion_prolixicauda,TM_pre,0
Riftia Field 1,Nilva_torifera,TM_pre,0
Riftia Field 1,Rhogobius_sp,TM_pre,0
Riftia Field 1,Scotoecetes_introrsus,TM_pre,57.89
Riftia Field 1,Stygiopontius_appositus,TM_pre,0
Riftia Field 1,Stygiopontius_flexus,TM_pre,21.05
Riftia Field 1,Stygiopontius_hispidulus,TM_pre,0
Riftia Field 1,Stygiopontius_mucroniferus,TM_pre,0
Riftia Field 1,Stygiopontius_paxillifer ,TM_pre,0
Riftia Field 1,Stygiopontius_sentifer,TM_pre,0
Riftia Field 1,Stygiopontius_stabilitus,TM_pre,0
Riftia Field 2,Aphotopontius_acanthinus,TM_pre,0
Riftia Field 2,Aphotopontius_arcuatus,TM_pre,0
Riftia Field 2,Aphotopontius_flexispina,TM_pre,0
Riftia Field 2,Aphotopontius_hydronauticus ,TM_pre,0
Riftia Field 2,Aphotopontius_limatulus,TM_pre,0
Riftia Field 2,Aphotopontius_mammilatus,TM_pre,0
Riftia Field 2,Aphotopontius_probolus,TM_pre,0
Riftia Field 2,Benthoxynus_tumidiseta,TM_pre,34.88
Riftia Field 2,Ceuthocetes_introversus,TM_pre,23.26
Riftia Field 2,Ceuthoecetes_acanthotrix,TM_pre,0
Riftia Field 2,Ceuthoecetes_aliger,TM_pre,0
Riftia Field 2,Ceuthoecetes_Nilva_juvenile,TM_pre,0
Riftia Field 2,copepodites,TM_pre,25.58
Riftia Field 2,Dirivultidae_juvenile,TM_pre,0
Riftia Field 2,Ecbathyrion_prolixicauda,TM_pre,0
Riftia Field 2,Nilva_torifera,TM_pre,0
Riftia Field 2,Rhogobius_sp,TM_pre,0
Riftia Field 2,Scotoecetes_introrsus,TM_pre,13.95
Riftia Field 2,Stygiopontius_appositus,TM_pre,0
Riftia Field 2,Stygiopontius_flexus,TM_pre,2.33
Riftia Field 2,Stygiopontius_hispidulus,TM_pre,0
Riftia Field 2,Stygiopontius_mucroniferus,TM_pre,0
Riftia Field 2,Stygiopontius_paxillifer ,TM_pre,0
Riftia Field 2,Stygiopontius_sentifer,TM_pre,0
Riftia Field 2,Stygiopontius_stabilitus,TM_pre,0
Riftia Field 3,Aphotopontius_acanthinus,TM_pre,0
Riftia Field 3,Aphotopontius_arcuatus,TM_pre,0
Riftia Field 3,Aphotopontius_flexispina,TM_pre,0
Riftia Field 3,Aphotopontius_hydronauticus ,TM_pre,4.35
Riftia Field 3,Aphotopontius_limatulus,TM_pre,0
Riftia Field 3,Aphotopontius_mammilatus,TM_pre,1.45
Riftia Field 3,Aphotopontius_probolus,TM_pre,1.45
Riftia Field 3,Benthoxynus_tumidiseta,TM_pre,0
Riftia Field 3,Ceuthocetes_introversus,TM_pre,4.35
Riftia Field 3,Ceuthoecetes_acanthotrix,TM_pre,4.35
Riftia Field 3,Ceuthoecetes_aliger,TM_pre,5.8
Riftia Field 3,Ceuthoecetes_Nilva_juvenile,TM_pre,0
Riftia Field 3,copepodites,TM_pre,24.64
Riftia Field 3,Dirivultidae_juvenile,TM_pre,0
Riftia Field 3,Ecbathyrion_prolixicauda,TM_pre,0
Riftia Field 3,Nilva_torifera,TM_pre,0
Riftia Field 3,Rhogobius_sp,TM_pre,0
Riftia Field 3,Scotoecetes_introrsus,TM_pre,36.97
Riftia Field 3,Stygiopontius_appositus,TM_pre,0
Riftia Field 3,Stygiopontius_flexus,TM_pre,8.7
Riftia Field 3,Stygiopontius_hispidulus,TM_pre,6.52
Riftia Field 3,Stygiopontius_mucroniferus,TM_pre,0.72
Riftia Field 3,Stygiopontius_paxillifer ,TM_pre,0
Riftia Field 3,Stygiopontius_sentifer,TM_pre,0
Riftia Field 3,Stygiopontius_stabilitus,TM_pre,0.72
Sketchy 1,Aphotopontius_acanthinus,TM_post,0
Sketchy 1,Aphotopontius_arcuatus,TM_post,0
Sketchy 1,Aphotopontius_flexispina,TM_post,0
Sketchy 1,Aphotopontius_hydronauticus ,TM_post,0
Sketchy 1,Aphotopontius_limatulus,TM_post,40
Sketchy 1,Aphotopontius_mammilatus,TM_post,20
Sketchy 1,Aphotopontius_probolus,TM_post,0
Sketchy 1,Benthoxynus_tumidiseta,TM_post,10
Sketchy 1,Ceuthocetes_introversus,TM_post,0
Sketchy 1,Ceuthoecetes_acanthotrix,TM_post,0
Sketchy 1,Ceuthoecetes_aliger,TM_post,0
Sketchy 1,Ceuthoecetes_Nilva_juvenile,TM_post,0
Sketchy 1,copepodites,TM_post,0
Sketchy 1,Dirivultidae_juvenile,TM_post,30
Sketchy 1,Ecbathyrion_prolixicauda,TM_post,0
Sketchy 1,Nilva_torifera,TM_post,0
Sketchy 1,Rhogobius_sp,TM_post,0
Sketchy 1,Scotoecetes_introrsus,TM_post,0
Sketchy 1,Stygiopontius_appositus,TM_post,0
Sketchy 1,Stygiopontius_flexus,TM_post,0
Sketchy 1,Stygiopontius_hispidulus,TM_post,0
Sketchy 1,Stygiopontius_mucroniferus,TM_post,0
Sketchy 1,Stygiopontius_paxillifer ,TM_post,0
Sketchy 1,Stygiopontius_sentifer,TM_post,0
Sketchy 1,Stygiopontius_stabilitus,TM_post,0
Sketchy 2,Aphotopontius_acanthinus,TM_post,25
Sketchy 2,Aphotopontius_arcuatus,TM_post,0
Sketchy 2,Aphotopontius_flexispina,TM_post,0
Sketchy 2,Aphotopontius_hydronauticus ,TM_post,0
Sketchy 2,Aphotopontius_limatulus,TM_post,37.5
Sketchy 2,Aphotopontius_mammilatus,TM_post,12.5
Sketchy 2,Aphotopontius_probolus,TM_post,0
Sketchy 2,Benthoxynus_tumidiseta,TM_post,0
Sketchy 2,Ceuthocetes_introversus,TM_post,0
Sketchy 2,Ceuthoecetes_acanthotrix,TM_post,0
Sketchy 2,Ceuthoecetes_aliger,TM_post,0
Sketchy 2,Ceuthoecetes_Nilva_juvenile,TM_post,0
Sketchy 2,copepodites,TM_post,0
Sketchy 2,Dirivultidae_juvenile,TM_post,25
Sketchy 2,Ecbathyrion_prolixicauda,TM_post,0
Sketchy 2,Nilva_torifera,TM_post,0
Sketchy 2,Rhogobius_sp,TM_post,0
Sketchy 2,Scotoecetes_introrsus,TM_post,0
Sketchy 2,Stygiopontius_appositus,TM_post,0
Sketchy 2,Stygiopontius_flexus,TM_post,0
Sketchy 2,Stygiopontius_hispidulus,TM_post,0
Sketchy 2,Stygiopontius_mucroniferus,TM_post,0
Sketchy 2,Stygiopontius_paxillifer ,TM_post,0
Sketchy 2,Stygiopontius_sentifer,TM_post,0
Sketchy 2,Stygiopontius_stabilitus,TM_post,0
Sketchy 3,Aphotopontius_acanthinus,TM_post,20
Sketchy 3,Aphotopontius_arcuatus,TM_post,0
Sketchy 3,Aphotopontius_flexispina,TM_post,0
Sketchy 3,Aphotopontius_hydronauticus ,TM_post,0
Sketchy 3,Aphotopontius_limatulus,TM_post,20
Sketchy 3,Aphotopontius_mammilatus,TM_post,20
Sketchy 3,Aphotopontius_probolus,TM_post,0
Sketchy 3,Benthoxynus_tumidiseta,TM_post,20
Sketchy 3,Ceuthocetes_introversus,TM_post,0
Sketchy 3,Ceuthoecetes_acanthotrix,TM_post,0
Sketchy 3,Ceuthoecetes_aliger,TM_post,0
Sketchy 3,Ceuthoecetes_Nilva_juvenile,TM_post,0
Sketchy 3,copepodites,TM_post,0
Sketchy 3,Dirivultidae_juvenile,TM_post,20
Sketchy 3,Ecbathyrion_prolixicauda,TM_post,0
Sketchy 3,Nilva_torifera,TM_post,0
Sketchy 3,Rhogobius_sp,TM_post,0
Sketchy 3,Scotoecetes_introrsus,TM_post,0
Sketchy 3,Stygiopontius_appositus,TM_post,0
Sketchy 3,Stygiopontius_flexus,TM_post,0
Sketchy 3,Stygiopontius_hispidulus,TM_post,0
Sketchy 3,Stygiopontius_mucroniferus,TM_post,0
Sketchy 3,Stygiopontius_paxillifer ,TM_post,0
Sketchy 3,Stygiopontius_sentifer,TM_post,0
Sketchy 3,Stygiopontius_stabilitus,TM_post,0
P Vent 1,Aphotopontius_acanthinus,TM_post,27.55
P Vent 1,Aphotopontius_arcuatus,TM_post,0
P Vent 1,Aphotopontius_flexispina,TM_post,0
P Vent 1,Aphotopontius_hydronauticus ,TM_post,0
P Vent 1,Aphotopontius_limatulus,TM_post,0
P Vent 1,Aphotopontius_mammilatus,TM_post,0
P Vent 1,Aphotopontius_probolus,TM_post,0
P Vent 1,Benthoxynus_tumidiseta,TM_post,53.06
P Vent 1,Ceuthocetes_introversus,TM_post,0
P Vent 1,Ceuthoecetes_acanthotrix,TM_post,0
P Vent 1,Ceuthoecetes_aliger,TM_post,0
P Vent 1,Ceuthoecetes_Nilva_juvenile,TM_post,0
P Vent 1,copepodites,TM_post,0
P Vent 1,Dirivultidae_juvenile,TM_post,0
P Vent 1,Ecbathyrion_prolixicauda,TM_post,0
P Vent 1,Nilva_torifera,TM_post,0
P Vent 1,Rhogobius_sp,TM_post,0
P Vent 1,Scotoecetes_introrsus,TM_post,17.86
P Vent 1,Stygiopontius_appositus,TM_post,0
P Vent 1,Stygiopontius_flexus,TM_post,1.02
P Vent 1,Stygiopontius_hispidulus,TM_post,0.51
P Vent 1,Stygiopontius_mucroniferus,TM_post,0
P Vent 1,Stygiopontius_paxillifer ,TM_post,0
P Vent 1,Stygiopontius_sentifer,TM_post,0
P Vent 1,Stygiopontius_stabilitus,TM_post,0
P Vent 2,Aphotopontius_acanthinus,TM_post,2.56
P Vent 2,Aphotopontius_arcuatus,TM_post,0
P Vent 2,Aphotopontius_flexispina,TM_post,0
P Vent 2,Aphotopontius_hydronauticus ,TM_post,0
P Vent 2,Aphotopontius_limatulus,TM_post,0
P Vent 2,Aphotopontius_mammilatus,TM_post,0
P Vent 2,Aphotopontius_probolus,TM_post,0
P Vent 2,Benthoxynus_tumidiseta,TM_post,56.41
P Vent 2,Ceuthocetes_introversus,TM_post,0
P Vent 2,Ceuthoecetes_acanthotrix,TM_post,0
P Vent 2,Ceuthoecetes_aliger,TM_post,0
P Vent 2,Ceuthoecetes_Nilva_juvenile,TM_post,0
P Vent 2,copepodites,TM_post,0
P Vent 2,Dirivultidae_juvenile,TM_post,0.51
P Vent 2,Ecbathyrion_prolixicauda,TM_post,0
P Vent 2,Nilva_torifera,TM_post,0
P Vent 2,Rhogobius_sp,TM_post,0
P Vent 2,Scotoecetes_introrsus,TM_post,40
P Vent 2,Stygiopontius_appositus,TM_post,0
P Vent 2,Stygiopontius_flexus,TM_post,0.51
P Vent 2,Stygiopontius_hispidulus,TM_post,0
P Vent 2,Stygiopontius_mucroniferus,TM_post,0
P Vent 2,Stygiopontius_paxillifer ,TM_post,0
P Vent 2,Stygiopontius_sentifer,TM_post,0
P Vent 2,Stygiopontius_stabilitus,TM_post,0
P Vent 3,Aphotopontius_acanthinus,TM_post,94.97
P Vent 3,Aphotopontius_arcuatus,TM_post,0
P Vent 3,Aphotopontius_flexispina,TM_post,0
P Vent 3,Aphotopontius_hydronauticus ,TM_post,0
P Vent 3,Aphotopontius_limatulus,TM_post,0
P Vent 3,Aphotopontius_mammilatus,TM_post,0
P Vent 3,Aphotopontius_probolus,TM_post,0
P Vent 3,Benthoxynus_tumidiseta,TM_post,0.5
P Vent 3,Ceuthocetes_introversus,TM_post,0
P Vent 3,Ceuthoecetes_acanthotrix,TM_post,0
P Vent 3,Ceuthoecetes_aliger,TM_post,0
P Vent 3,Ceuthoecetes_Nilva_juvenile,TM_post,0
P Vent 3,copepodites,TM_post,0
P Vent 3,Dirivultidae_juvenile,TM_post,1
P Vent 3,Ecbathyrion_prolixicauda,TM_post,0
P Vent 3,Nilva_torifera,TM_post,0
P Vent 3,Rhogobius_sp,TM_post,0
P Vent 3,Scotoecetes_introrsus,TM_post,3.52
P Vent 3,Stygiopontius_appositus,TM_post,0
P Vent 3,Stygiopontius_flexus,TM_post,0
P Vent 3,Stygiopontius_hispidulus,TM_post,0
P Vent 3,Stygiopontius_mucroniferus,TM_post,0
P Vent 3,Stygiopontius_paxillifer ,TM_post,0
P Vent 3,Stygiopontius_sentifer,TM_post,0
P Vent 3,Stygiopontius_stabilitus,TM_post,0
P Vent 4,Aphotopontius_acanthinus,TM_post,10
P Vent 4,Aphotopontius_arcuatus,TM_post,90
P Vent 4,Aphotopontius_flexispina,TM_post,0
P Vent 4,Aphotopontius_hydronauticus ,TM_post,0
P Vent 4,Aphotopontius_limatulus,TM_post,0
